,FWHM,rise,flat,error
0,0.2850678037567034,1.0,0.8,0.0022116907804833217
1,0.009893703599266501,2.0,0.8,0.0005253120428248381
2,0.17743716034525164,3.0,0.8,0.0010565471525340062
3,0.15941944481419554,4.0,0.8,0.0009228274605939559
4,0.1445630608524976,5.0,0.8,0.000733569167349445
5,0.1453288353076132,6.0,0.8,0.0008079394559691687
7,0.12970557665303753,8.0,0.8,0.0006734029708452671
6,0.10409780172585696,7.0,0.8,0.0053199055524570625
9,0.10794063281100104,10.0,0.8,0.0018827801103010763
11,0.12953838114126848,12.0,0.8,0.0007420157884875783
8,0.1283223902808339,9.0,0.8,0.0006734886522047225
10,0.12674117647299382,11.0,0.8,0.0006883889180191565
14,0.12998915042216644,15.0,0.8,0.0006745751812639987
13,0.1301804204232895,14.0,0.8,0.0007158140563438575
12,0.1281426502863393,13.0,0.8,0.0007073152192267727
15,0.1290799452997593,16.0,0.8,0.0006399866526469337
19,0.13241856827872855,20.0,0.8,0.0007543765582025615
16,0.12929279108054412,17.0,0.8,0.0007586272988620034
17,0.13076671288208866,18.0,0.8,0.0007439352419350393
18,0.13103708865998964,19.0,0.8,0.0007501196297798162
20,0.13599011157335508,21.0,0.8,0.000751149280954356
23,0.13366915348028638,24.0,0.8,0.0018047169554153064
21,0.1381999319829233,22.0,0.8,0.0007674041507280317
22,0.13536094744251623,23.0,0.8,0.0017448917729284655
27,0.1368864775537246,28.0,0.8,0.0014201094067960453
24,0.14185880286516758,25.0,0.8,0.0008010380046914408
26,0.13423599704856443,27.0,0.8,0.0016611240913673776
25,0.1673037741968702,26.0,0.8,0.009680277618230919
